Geo_Point;Geo_Shape;nom;street;No
43.5858785218, 1.475006686;{"type": "Point", "coordinates": [1.475006685997372, 43.58587852179781]};COTTAGES RIEUX;AV DES COTTAGES;58
43.5868580251, 1.46318435935;{"type": "Point", "coordinates": [1.463184359345778, 43.586858025098415]};PL ROGER ARNAUD;PL ROGER ARNAUD;1
43.5833549065, 1.48194817912;{"type": "Point", "coordinates": [1.481948179118739, 43.583354906511474]};CHRIST ROI;RUE DE L AUDE;25
43.6008400856, 1.47355743952;{"type": "Point", "coordinates": [1.473557439522019, 43.60084008562664]};CASTRES ACHIARY;AV DE CASTRES;48
43.6297737136, 1.46654721089;{"type": "Point", "coordinates": [1.466547210887484, 43.6297737136156]};AMOUROUX SAINT TROPEZ;CHE AMOUROUX;42
43.5665194693, 1.45866363268;{"type": "Point", "coordinates": [1.458663632679737, 43.56651946927868]};NARBONNE SAHUQUE;RTE DE NARBONNE;105
43.5692062094, 1.45634916182;{"type": "Point", "coordinates": [1.45634916182147, 43.56920620937197]};NARBONNE MIROUSE;RTE DE NARBONNE;64
43.6326930124, 1.46315260711;{"type": "Point", "coordinates": [1.463152607112551, 43.63269301244163]};ALBI AVRANCHES;RTE D ALBI;78
43.6334896217, 1.43545887842;{"type": "Point", "coordinates": [1.435458878415498, 43.633489621653396]};METRO LA VACHE;RUE PAUL VERLAINE;8
43.5973131473, 1.40375645141;{"type": "Point", "coordinates": [1.403756451409072, 43.59731314731094]};TOEC ABBE LEMIRE;RUE DE L ABBE JULES LEMIRE;1
43.5793370009, 1.47308252565;{"type": "Point", "coordinates": [1.473082525654605, 43.579337000868954]};BUTTE HERBETTES;CHE DE LA BUTTE;50
43.6170088756, 1.40838826425;{"type": "Point", "coordinates": [1.408388264250025, 43.617008875586805]};JOB BLAGNAC;RTE DE BLAGNAC;112
43.6357875451, 1.44383583378;{"type": "Point", "coordinates": [1.44383583377536, 43.63578754512965]};RENAN VITRY;RUE ERNEST RENAN;93
43.6363599023, 1.43899830066;{"type": "Point", "coordinates": [1.438998300664665, 43.63635990231467]};LAUNAGUET AUDIBERT;RTE DE LAUNAGUET;112
